95	18.6764	97.1385	0.00998714	1	530	0.120392	0.0728092	0	996
150	18.6679	97.1641	0.0268336	1	530	0.119781	0.0763217	0	843
90	18.6591	97.1038	0.00830056	1	516	0.095353	0.129577	0	1260
140	18.6449	97.1776	0.0169784	1	558	0.122156	0.130356	0	904
90	18.6433	97.1883	0.0243664	1	558	0.116259	0.0978964	0	684
65	18.6404	97.0675	0.00470548	1	530	0.120497	0.118209	0	1175
90	18.6106	97.1404	0.011135	1	516	0.121136	0.0965644	0	1234
110	18.6232	97.0832	0.00374761	1	530	0.115098	0.109699	0	1103
85	18.6173	97.0945	0	1	530	0.130749	0.106966	0	962
175	18.6116	97.1952	0.0376731	1	201	0.131681	0.138578	0	948
35	18.6105	97.0883	0.00586811	1	530	0.121184	0.110942	0	962
295	18.6059	97.1466	0.0176304	1	530	0.122901	0.0834444	0	1245
280	18.6013	97.3137	0.0108034	1	663	0.11884	0.0812146	0	337
215	18.5963	97.2341	0.0106397	1	663	0.109094	0.104271	0	601
120	18.5964	97.1682	0.0252306	1	558	0.118957	0.0997771	0	1250
100	18.5938	97.1004	0.00170343	1	530	0.11806	0.0616933	0	1007
225	18.5918	97.0652	0.0141336	1	530	0.12414	0.111012	0	973
100	18.5913	97.0763	0.0323262	1	530	0.13088	0.0955007	0	917
350	18.5819	97.345	0.0133051	1	663	0.127695	0.0841935	0	116
150	18.5765	97.2431	0	1	663	0.0730654	0.0794016	0	601
65	18.5823	97.1188	0.0139742	1	530	0.092809	0.108665	0	989
90	18.5658	97.2567	0.00537201	1	663	0.0810921	0.110142	0	498
150	18.5782	97.1696	0.00900614	1	558	0.123515	0.1011	0	1227
380	18.5644	97.1011	0.0124393	1	530	0.0948828	0.133201	0	878
100	18.5637	97.0349	0.0205353	1	726	0.0867768	0.0912562	0	1394
210	18.5654	97.1109	0.0138016	1	530	0.124462	0.0914789	0	836
115	18.5558	97.1814	0.00694309	1	558	0.128771	0.0817262	0	1146
75	18.5579	97.2534	0.0109758	1	663	0.122533	0.116364	0	476
95	18.5515	97.2662	0	1	663	0.121461	0.105448	0	465
105	18.546	97.2693	0.0109308	1	663	0.109387	0.108793	0	374
